Name,andere Schreibweisen,Geburtszeitpunkt,Sterbezeitpunkt,Kommentar
"Potter, Gerdt",,,,
"Mareg, Reinecke",,,,
"Schmid, Bartold der",Mester Bartold,,,
"Meier, Curdt",,,,
"Kleine, Heinrich",,,,
"Speckmann, Gerdt",,,,
"Hoye, Heinrich von der",,,,
"Stubbe, Harme",,,,
"Vischer, Ludecke",,,,
"Cornus, Johan",,,,
"Arndt, (Mester)",,,,
"Jost, (Mester)",,,,
"Grotekopff, Harme",,,,
"Coseman, Simon",,,,
"Edler, Johan",,,,
"Schmede, ermen",,,,
"Post, Joachim",,,,
"Wendt, St",,,,
"Knube, Jost",,,,
"Vogt, Jost",,,,
"Mennickhausen, Borries von",,,,
"Heinberge, von",,,,
"Hopman, Hem",,,,
"Krull, Bartelt",,,,
"Stark, Arndt",,,,
"Greve, Heinrich",,,,
"Ronnbecke, Curdt",,,,
"Camp, Johan",,,,
"Grope, Cuerdt",,,,
"Holle, Jürgen von",,,,
"Bruggemann, Cunradt",,,,
"Kock, Hans",,,,
"Fridehoff, Harmen",,,,
"Storck, Bartold",,,,
"Marcus, Reinecke",,,,
"Ledebuer, Wilhelm",,,,
"Temme, Hans",,,,
"Zertzen, Burchardt von",,,,
"Orde, Gerdt uffm",,,,
"Wagner, Zacharias",,1614-05-10,1668-10-18,
"Stauer, Reinecke",,,,
"Schwichausen, Simon",,,,
"Schulte, Marcus",,,,
"Schulte, Hinrich",,,,
"Riebeck, Johan Anthoniszoon van",Jan,1619-04-21,1677-01-18,
"Specx, Jaques",Jacobus; Jacques,1588,1652,
"Stetborn, Hinrich",Statbome,,,
"Kämmerer, Martin","Kemeraer, Marten",,,
"Klugkist, Heinrich",,1622-02-15,1691-02-21,
"Mohr, Johan Maurits",,1716-08-18,1775-10-25,
"Mossel, Jacob",,1704-11-28,1761-05-15,
"Kon, Johann Jakob",,,,
"Vries, Gerrit de",,,,
"Cool, Perius",,,,
"Laus, Hendrik",,,,
