Stone;Length;Height;Depth
S_263;0,688;0,165;0,169
S_264;0,696;0,165;0,169
S_265;0,684;0,490;0,481
S_266;0,171;0,490;0,481
S_267;0,162;0,490;0,481
S_268;0,287;0,173;0,474
S_269;0,670;0,162;0,489
S_270;0,597;0,240;0,677
S_271;0,569;0,240;0,677
S_272;1,046;0,462;0,591
S_273;1,160;0,278;0,643
S_274;1,258;0,140;0,673
S_275;0,359;0,403;0,622
S_276;0,382;0,167;0,622
S_277;0,309;0,350;0,586
S_278;0,304;0,192;0,546
S_279;1,072;0,348;0,589
S_280;0,339;0,192;0,468
S_281;0,350;0,403;0,622
S_282;0,370;0,167;0,622
S_283;0,276;0,350;0,586
S_284;0,351;0,350;0,482
S_285;0,315;0,362;0,482
S_286;0,315;0,362;0,488
S_287;0,359;0,072;0,622
S_288;0,350;0,072;0,622
S_289;0,293;0,482;0,482
S_290;0,304;0,192;0,541
S_291;0,337;0,362;0,622
S_292;0,335;0,362;0,622
S_293;0,268;0,167;0,482
S_294;0,268;0,167;0,488
S_295;0,370;0,177;0,586
S_296;0,370;0,177;0,586
S_297;0,286;0,177;0,482
S_298;0,277;0,177;0,569
S_299;0,277;0,346;0,569
S_300;0,277;0,188;0,569
S_301;0,277;0,347;0,569
S_302;0,597;0,240;0,459
S_303;0,220;0,462;0,595
S_304;0,216;0,278;0,643
S_305;0,117;0,468;0,478
S_306;0,117;0,437;0,478
S_307;0,430;0,923;0,386
S_308;0,430;0,923;0,386
S_309;0,217;0,762;0,077
S_310;0,217;0,762;0,077
S_311;0,217;0,770;0,077
S_312;0,217;0,778;0,077
S_313;0,217;0,786;0,077
S_314;0,217;0,786;0,077
S_315;0,217;0,828;0,077
S_316;0,217;0,828;0,077
S_317;0,217;0,828;0,077
S_318;0,217;0,828;0,077
S_319;0,217;0,828;0,077
S_320;0,217;0,828;0,077
S_321;0,217;0,828;0,077
S_322;0,217;0,828;0,077
S_323;0,217;0,828;0,077
S_324;0,217;0,828;0,077
S_325;0,217;0,786;0,077
S_326;0,217;0,786;0,077
S_327;0,217;0,786;0,077
S_328;0,217;0,786;0,077
S_329;0,217;0,786;0,077
S_330;0,217;0,786;0,077
S_331;0,430;0,994;0,431
S_332;0,430;0,994;0,431
S_333;2,715;0,189;0,439
