ID,Hierarchy,Object,Name,ShortName,Longname,Link,Length,Height,Depth,Row,Level,WIND,WIND_Top,WIND_Bott,WIND_Ks_Vert,WIND_Ks_Hor,Cornice
SchB_ID160920113138_972,1,FS590,Fassadenstein590,FS590_WFas_Schuetting,Fassadenstein590_WFas_Schuetting,WFas_Schuetting,"36,88","35,88","0,00",60,3,0,0,0,0,0,0
SchB_ID160920113138_973,1,FS591,Fassadenstein591,FS591_WFas_Schuetting,Fassadenstein591_WFas_Schuetting,WFas_Schuetting,"84,65","35,88","0,00",60,3,0,0,0,0,0,0
SchB_ID160920113138_974,1,FS592,Fassadenstein592,FS592_WFas_Schuetting,Fassadenstein592_WFas_Schuetting,WFas_Schuetting,"90,08","35,88","0,00",60,3,0,0,0,0,0,0
SchB_ID160920113138_975,1,FS593,Fassadenstein593,FS593_WFas_Schuetting,Fassadenstein593_WFas_Schuetting,WFas_Schuetting,"50,44","35,88","0,00",60,3,0,0,0,0,0,0
SchB_ID160920113138_976,1,FS594,Fassadenstein594,FS594_WFas_Schuetting,Fassadenstein594_WFas_Schuetting,WFas_Schuetting,"56,18","35,88","0,00",60,3,0,0,0,0,0,0
SchB_ID160920113138_977,1,FS595,Fassadenstein595,FS595_WFas_Schuetting,Fassadenstein595_WFas_Schuetting,WFas_Schuetting,"32,99","17,17","0,00",61,3,0,0,0,0,0,0
SchB_ID160920113138_978,1,FS596,Fassadenstein596,FS596_WFas_Schuetting,Fassadenstein596_WFas_Schuetting,WFas_Schuetting,"35,27","17,17","0,00",60,3,0,0,0,0,0,0
SchB_ID160920113138_979,1,FS597,Fassadenstein597,FS597_WFas_Schuetting,Fassadenstein597_WFas_Schuetting,WFas_Schuetting,"11,76","6,00","0,00",60,3,0,0,0,0,0,0
SchB_ID160920113138_980,1,FS598,Fassadenstein598,FS598_WFas_Schuetting,Fassadenstein598_WFas_Schuetting,WFas_Schuetting,"57,22","17,17","0,00",61,3,0,0,0,0,0,0
SchB_ID160920113138_981,1,FS599,Fassadenstein599,FS599_WFas_Schuetting,Fassadenstein599_WFas_Schuetting,WFas_Schuetting,"11,96","6,00","0,00",60,3,0,0,0,0,0,0
SchB_ID160920113138_982,1,FS600,Fassadenstein600,FS600_WFas_Schuetting,Fassadenstein600_WFas_Schuetting,WFas_Schuetting,"35,27","17,17","0,00",60,3,0,0,0,0,0,0
SchB_ID160920113138_983,1,FS601,Fassadenstein601,FS601_WFas_Schuetting,Fassadenstein601_WFas_Schuetting,WFas_Schuetting,"34,36","14,04","0,00",60,3,0,0,0,0,0,0
SchB_ID160920113138_984,1,FS602,Fassadenstein602,FS602_WFas_Schuetting,Fassadenstein602_WFas_Schuetting,WFas_Schuetting,"28,78","14,04","0,00",60,3,0,0,0,0,0,0
SchB_ID160920113138_985,1,FS603,Fassadenstein603,FS603_WFas_Schuetting,Fassadenstein603_WFas_Schuetting,WFas_Schuetting,"44875,00","14,04","0,00",61,3,0,0,0,0,0,0
SchB_ID160920113138_986,1,FS604,Fassadenstein604,FS604_WFas_Schuetting,Fassadenstein604_WFas_Schuetting,WFas_Schuetting,"23,51","14,04","0,00",61,3,0,0,0,0,0,0
SchB_ID160920113138_987,1,FS605,Fassadenstein605,FS605_WFas_Schuetting,Fassadenstein605_WFas_Schuetting,WFas_Schuetting,"43,32","14,04","0,00",61,3,0,0,0,0,0,0
SchB_ID160920113138_988,1,FS606,Fassadenstein606,FS606_WFas_Schuetting,Fassadenstein606_WFas_Schuetting,WFas_Schuetting,"11,76","9,29","0,00",60,3,0,0,0,0,0,0
SchB_ID160920113138_989,1,FS607,Fassadenstein607,FS607_WFas_Schuetting,Fassadenstein607_WFas_Schuetting,WFas_Schuetting,"11,96","9,29","0,00",60,3,0,0,0,0,0,0
SchB_ID160920113138_990,1,FS608,Fassadenstein608,FS608_WFas_Schuetting,Fassadenstein608_WFas_Schuetting,WFas_Schuetting,"17,17","20,10","0,00",61,3,0,0,0,0,0,0
SchB_ID160920113138_992,1,FS609,Fassadenstein609,FS609_WFas_Schuetting,Fassadenstein609_WFas_Schuetting,WFas_Schuetting,"17,17","19,89","0,00",61,3,0,0,0,0,0,0
SchB_ID160920113138_998,1,FS610,Fassadenstein610,FS610_WFas_Schuetting,Fassadenstein610_WFas_Schuetting,WFas_Schuetting,"63,89","23,13","0,00",61,3,0,0,0,0,0,0
SchB_ID160920113138_999,1,FS611,Fassadenstein611,FS611_WFas_Schuetting,Fassadenstein611_WFas_Schuetting,WFas_Schuetting,"44,10","23,13","0,00",61,3,0,0,0,0,0,0
SchB_ID160920113138_1000,1,FS612,Fassadenstein612,FS612_WFas_Schuetting,Fassadenstein612_WFas_Schuetting,WFas_Schuetting,"70,60","35,88","0,00",60,3,0,0,0,0,0,0
SchB_ID160920113138_1001,1,FS613,Fassadenstein613,FS613_WFas_Schuetting,Fassadenstein613_WFas_Schuetting,WFas_Schuetting,"67,00","35,88","0,00",60,3,0,0,0,0,0,0
SchB_ID160920113138_1002,1,FS614,Fassadenstein614,FS614_WFas_Schuetting,Fassadenstein614_WFas_Schuetting,WFas_Schuetting,"67,00","35,88","0,00",60,3,0,0,0,0,0,0
SchB_ID160920113138_1003,1,FS615,Fassadenstein615,FS615_WFas_Schuetting,Fassadenstein615_WFas_Schuetting,WFas_Schuetting,"74,56","23,12","0,00",61,3,0,0,0,0,0,0
SchB_ID160920113138_1004,1,FS616,Fassadenstein616,FS616_WFas_Schuetting,Fassadenstein616_WFas_Schuetting,WFas_Schuetting,"79,25","23,12","0,00",61,3,0,0,0,0,0,0
SchB_ID160920113138_1005,1,FS617,Fassadenstein617,FS617_WFas_Schuetting,Fassadenstein617_WFas_Schuetting,WFas_Schuetting,"48,01","23,13","0,00",61,3,0,0,0,0,0,0
SchB_ID160920113138_1006,1,FS618,Fassadenstein618,FS618_WFas_Schuetting,Fassadenstein618_WFas_Schuetting,WFas_Schuetting,"35,04","31,47","0,00",63,3,0,0,0,0,0,0
SchB_ID160920113138_1007,1,FS619,Fassadenstein619,FS619_WFas_Schuetting,Fassadenstein619_WFas_Schuetting,WFas_Schuetting,"28,10","31,47","0,00",63,3,0,0,0,0,0,0
SchB_ID160920113138_1008,1,FS620,Fassadenstein620,FS620_WFas_Schuetting,Fassadenstein620_WFas_Schuetting,WFas_Schuetting,"57,95","31,47","0,00",63,3,0,0,0,0,0,0
SchB_ID160920113138_1017,1,FS621,Fassadenstein621,FS621_WFas_Schuetting,Fassadenstein621_WFas_Schuetting,WFas_Schuetting,"19,38","24,13","0,00",63,3,1,0,0,0,0,0
SchB_ID160920113138_1019,1,FS622,Fassadenstein622,FS622_WFas_Schuetting,Fassadenstein622_WFas_Schuetting,WFas_Schuetting,"36,01","24,15","0,00",64,3,0,0,0,0,0,0
SchB_ID160920113138_1020,1,FS623,Fassadenstein623,FS623_WFas_Schuetting,Fassadenstein623_WFas_Schuetting,WFas_Schuetting,"90,69","24,15","0,00",64,3,0,0,0,0,0,0
SchB_ID160920113138_1022,1,FS624,Fassadenstein624,FS624_WFas_Schuetting,Fassadenstein624_WFas_Schuetting,WFas_Schuetting,"43,30","21,01","0,00",65,3,0,0,0,0,0,0
SchB_ID160920113138_1023,1,FS625,Fassadenstein625,FS625_WFas_Schuetting,Fassadenstein625_WFas_Schuetting,WFas_Schuetting,"50,88","21,01","0,00",65,3,0,0,0,0,0,0
SchB_ID160920113138_1035,1,FS626,Fassadenstein626,FS626_WFas_Schuetting,Fassadenstein626_WFas_Schuetting,WFas_Schuetting,"21,28","9,75","0,00",61,3,0,0,0,0,0,0
SchB_ID160920113138_1037,1,FS627,Fassadenstein627,FS627_WFas_Schuetting,Fassadenstein627_WFas_Schuetting,WFas_Schuetting,"22,04","24,13","0,00",63,3,1,0,0,0,0,0
SchB_ID160920113138_1043,1,FS628,Fassadenstein628,FS628_WFas_Schuetting,Fassadenstein628_WFas_Schuetting,WFas_Schuetting,"21,54","13,86","0,00",65,3,0,0,0,0,0,0
SchB_ID160920113138_1044,1,FS629,Fassadenstein629,FS629_WFas_Schuetting,Fassadenstein629_WFas_Schuetting,WFas_Schuetting,"13,40","5,50","0,00",65,3,0,0,0,0,0,0
SchB_ID160920113138_1045,1,FS630,Fassadenstein630,FS630_WFas_Schuetting,Fassadenstein630_WFas_Schuetting,WFas_Schuetting,"37,40","13,86","0,00",65,3,0,0,0,0,0,0
SchB_ID160920113138_1046,1,FS631,Fassadenstein631,FS631_WFas_Schuetting,Fassadenstein631_WFas_Schuetting,WFas_Schuetting,"30,86","30,23","0,00",64,3,0,0,0,0,0,0
SchB_ID160920113138_1047,1,FS632,Fassadenstein632,FS632_WFas_Schuetting,Fassadenstein632_WFas_Schuetting,WFas_Schuetting,"60,43","32,92","0,00",63,3,0,0,0,0,0,0
SchB_ID160920113138_1048,1,FS633,Fassadenstein633,FS633_WFas_Schuetting,Fassadenstein633_WFas_Schuetting,WFas_Schuetting,"27,68","32,92","0,00",63,3,0,0,0,0,0,0
SchB_ID160920113138_1049,1,FS634,Fassadenstein634,FS634_WFas_Schuetting,Fassadenstein634_WFas_Schuetting,WFas_Schuetting,"43,24","30,23","0,00",64,3,0,0,0,0,0,0
