Name,andere Schreibweisen,Geburtszeitpunkt,Sterbezeitpunkt,Kommentar
"Waghemakere, Dominicus",Domien; ,1460,1542,Baumeister; geboren vor 28. Nov.; hat auch Kirchen gebaut
"Vriendt, Cornelis Floris de",,1514,1575-10-20,Bildhauer; hat die Arbeiten vermutlich koordiniert; 1539 Meister in der Saint Luke Gilde geworden
"Broecke, Willem van den",Paludanus,,,Bildhauer
"Metsys, Jan ",,1490,1570,Kunstmaler; zwischen 1480-1500 geboren; gestorben wohl 1570; 1531 als Lehrling in der Saint Luke Gilde eingeschrieben
"Noort, Lambert van ",van Oort,1520,1571,Kunstmaler; ca. 1520 geboren; von 1549-1571 in Antwerpen aktiv gewesen; 
"Vries, Hans Vredeman de ",auch Jan ,1527,1607,"Maler, Zeichner, Baumeister"
"Broeucq, Jacques du ","from Mons; Breuque, Broeucque, Breuck, Brouec; Jaques, Jacob; de",1505,1584-09-30,Baumeister; 1500-1510 geboren
"Heeren, Jan Mijns",from Ghent; ,,,Baumeister
"Gardin, Jehan du ",from Lille; ,,,Baumeister
"Suavius, Lambertus ","from Liege; Lambert; Sutman, Zutman, Suttemine, Le Doux, Zoetman, Soete",1510,1567,"Baumeister, Maler, Zeichner, Architekt; 1505-1515 geboren"
"Svarini, Nicolo",from Florence;,,,Baumeister
"Foys, Loys du ",,,,Architekt; war Architekt des spanischen Königs
"Mildert, Jan van ","Johannes, Hans; van Milder, den Duyts;",1588-01-17,1638-09-21,Bildhauer
"Succa, Antonio de ",,1563,1620-09-07,"Maler, Konstrukteur; im Zeitraum von 1557-1567 aber vor 1567 geboren; Mitglied der Saint Luke Gilde"
"Vos, Willem de ",,,,Kreierte mit seinem Bruder das Tor der Kapelle
"Vos, Hendrik de ",,,,Kreierte mit seinem Bruder das Tor der Kapelle
"Bourla, Pierro Bruno ",,,,Aus Paris; übernahm die Restauration in 1822
