ID,Hierarchy,Object,ShortName,Link
ID1608011245_1,1.0,SL,SL_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-18.043804168701172,12.969038963317871,-17.626466751098633,12.969038963317871,-17.626466751098633,13.180318832397461,-18.043804168701172,13.180318832397461
ID1608011245_2,1.0,SL1,SL1_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-17.61412811279297,12.969038963317871,-14.626422882080078,12.969038963317871,-14.626421928405762,13.180318832397461,-17.61412811279297,13.180318832397461
ID1608011245_3,1.0,SL2,SL2_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-14.60954475402832,12.969038963317871,-14.16717529296875,12.969038963317871,-14.16717529296875,13.180318832397461,-14.60954475402832,13.180318832397461
ID1608011245_4,1.0,SL3,SL3_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-14.15729808807373,12.969038963317871,-10.799460411071777,12.969038963317871,-10.799460411071777,13.180318832397461,-14.157297134399414,13.180318832397461
ID1608011245_5,1.0,SL4,SL4_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-10.77148151397705,12.969038963317871,-8.367486953735352,12.969038963317871,-8.367486953735352,13.180318832397461,-10.77148151397705,13.180318832397461
ID1608011245_6,1.0,SL5,SL5_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-8.355208396911621,12.969038963317871,-7.879136562347412,12.969038963317871,-7.879136562347412,13.180318832397461,-8.355208396911621,13.180318832397461
ID1608011245_7,1.0,SL6,SL6_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-7.858364105224609,12.969038963317871,-7.354691028594971,12.969038963317871,-7.354691028594971,13.180318832397461,-7.858364105224609,13.180318832397461
ID1608011245_8,1.0,SL7,SL7_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-7.344534397125244,12.969038963317871,-6.898189067840576,12.969038963317871,-6.898189067840576,13.180318832397461,-7.344534397125244,13.180318832397461
ID1608011245_9,1.0,SL8,SL8_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-18.103078842163086,13.208449363708496,-16.82302474975586,13.208449363708496,-16.82302474975586,13.521597862243652,-18.103078842163086,13.521597862243652
ID1608011245_10,1.0,SL9,SL9_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-16.800386428833008,13.208449363708496,-15.063462257385254,13.208449363708496,-15.063462257385254,13.521597862243652,-16.800386428833008,13.521597862243652
ID1608011245_11,1.0,SL10,SL10_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-15.04549789428711,13.208449363708496,-14.374835968017578,13.208449363708496,-14.374835014343262,13.521597862243652,-15.04549789428711,13.521597862243652
ID1608011245_12,1.0,SL11,SL11_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-14.352428436279297,13.208449363708496,-13.966103553771973,13.208449363708496,-13.966102600097656,13.521597862243652,-14.352428436279297,13.521597862243652
ID1608011245_13,1.0,SL12,SL12_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-13.94710636138916,13.208449363708496,-13.329168319702148,13.208449363708496,-13.329168319702148,13.521597862243652,-13.94710636138916,13.521597862243652
ID1608011245_14,1.0,SL13,SL13_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-13.310172080993652,13.208449363708496,-11.620004653930664,13.208449363708496,-11.620004653930664,13.521597862243652,-13.310172080993652,13.521597862243652
ID1608011245_15,1.0,SL14,SL14_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-11.600496292114258,13.208449363708496,-8.187132835388184,13.208449363708496,-8.187132835388184,13.521597862243652,-11.600496292114258,13.521597862243652
ID1608011245_16,1.0,SL15,SL15_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-8.16726016998291,13.208449363708496,-6.8505072593688965,13.208449363708496,-6.850506782531738,13.521597862243652,-8.16726016998291,13.521597862243652
ID1608011245_17,1.0,SL16,SL16_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-18.064340591430664,13.545184135437012,-17.610713958740234,13.545184135437012,-17.610713958740234,14.022974014282227,-18.064340591430664,14.022974014282227
ID1608011245_18,1.0,SL17,SL17_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-14.16403579711914,13.545184135437012,-12.490172386169434,13.545184135437012,-12.490172386169434,14.022974014282227,-14.16403579711914,14.022974014282227
ID1608011245_19,1.0,SL18,SL18_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-15.900543212890625,13.545184135437012,-14.19505500793457,13.545184135437012,-14.195054054260254,14.022974014282227,-15.900543212890625,14.022974014282227
ID1608011245_20,1.0,SL19,SL19_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-12.45806884765625,13.545184135437012,-11.630646705627441,13.545184135437012,-11.630646705627441,14.022974014282227,-12.45806884765625,14.022974014282227
ID1608011245_21,1.0,SL20,SL20_MiGes_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,-11.600540161132812,13.545184135437012,-10.78790283203125,13.545184135437012,-10.78790283203125,14.022974014282227,-11.600540161132812,14.022974014282227
